"player_id","team_id","season_name","position","base_salary","guaranteed_compensation","mlspa_release","competition"
"0Oq6006M6D","mKAqBBmqbg",2013,"D",2e+05,2e+05,"2013-05-01","mls"
"0Oq6006M6D","mKAqBBmqbg",2013,"D",2e+05,2e+05,"2013-08-01","mls"
"0Oq6006M6D","mKAqBBmqbg",2013,"D",2e+05,2e+05,"2013-09-15","mls"
"0Oq60APM6D","0KPqjA456v",2013,"D",205000,208333,"2013-05-01","mls"
"0Oq60APM6D","0KPqjA456v",2013,"D",205000,208333,"2013-08-01","mls"
"0Oq60APM6D","0KPqjA456v",2013,"D",205000,208333,"2013-09-15","mls"
"0Oq60APM6D","0KPqjA456v",2014,"D",210000,213333,"2014-04-01","mls"
"0Oq60APM6D","0KPqjA456v",2014,"D",210000,213333,"2014-09-15","mls"
"0Oq60APM6D","Vj58weDM8n",2015,"D",175000,185000,"2015-07-15","mls"
"0Oq60APM6D","Vj58weDM8n",2015,"D",175000,185000,"2015-09-15","mls"
"0Oq60APM6D","Vj58weDM8n",2016,"D",2e+05,210000,"2016-05-15","mls"
"0Oq60APM6D","Vj58weDM8n",2016,"D",2e+05,210000,"2016-09-15","mls"
"0Oq60APM6D","kRQabn8MKZ",2017,"D",65004,65004,"2017-04-15","mls"
"0Oq60APM6D","kRQabn8MKZ",2017,"D",65004,65004,"2017-09-15","mls"
"0Oq60APM6D","kRQabn8MKZ",2018,"D",67500,67500,"2018-05-01","mls"
"0Oq60APM6D","kRQabn8MKZ",2018,"D",67500,67500,"2018-09-15","mls"
"0Oq60VgM6D","X0Oq66zq6D",2013,"D",225000,231000,"2013-05-01","mls"
"0Oq60VgM6D","X0Oq66zq6D",2013,"D",225000,231000,"2013-08-01","mls"
"0Oq60VgM6D","X0Oq66zq6D",2013,"D",225000,231000,"2013-09-15","mls"
"0Oq60VgM6D","X0Oq66zq6D",2014,"D",245000,251000,"2014-04-01","mls"
"0Oq60VgM6D","X0Oq66zq6D",2014,"D",245000,251000,"2014-09-15","mls"
"0Oq60VgM6D","X0Oq66zq6D",2015,"D",265000,271000,"2015-07-15","mls"
"0Oq60VgM6D","X0Oq66zq6D",2015,"D",265000,271000,"2015-09-15","mls"
"0Oq60VgM6D","kaDQ0wRqEv",2016,"M",175000,175000,"2016-05-15","mls"
"0Oq60VgM6D","kaDQ0wRqEv",2016,"M",175000,175000,"2016-09-15","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2017,"M",175008,175008,"2017-04-15","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2017,"M",175008,175008,"2017-09-15","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2018,"M",210000,210000,"2018-05-01","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2018,"M",210000,210000,"2018-09-15","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2019,"D",210000,210000,"2019-06-01","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2019,"D",210000,210000,"2019-09-13","mls"
"0Oq60VgM6D","KAqBN0Vqbg",2020,"M",280000,280000,"2020-12-01","mls"
"0Oq630dXQ6","kaDQ0wRqEv",2021,"F",1440000,1440000,"2021-04-15","mls"
"0Oq630dXQ6","kaDQ0wRqEv",2021,"F",1440000,1440000,"2021-09-30","mls"
"0Oq630dXQ6","kaDQ0wRqEv",2022,"F",1650000,1650000,"2022-04-15","mls"
"0Oq630dXQ6","kaDQ0wRqEv",2022,"F",1650000,1650000,"2022-09-02","mls"
"0Oq632k7Q6","jYQJ19EqGR",2019,"D",56250,89872,"2019-06-01","mls"
"0Oq632k7Q6","jYQJ19EqGR",2019,"D",56250,89872.2,"2019-09-13","mls"
"0Oq632k7Q6","jYQJ19EqGR",2020,"M",63547,83052,"2020-12-01","mls"
"0Oq632k7Q6","jYQJ19EqGR",2021,"M",81375,100798,"2021-04-15","mls"
"0Oq632k7Q6","jYQJ19EqGR",2021,"M",81375,100798,"2021-09-30","mls"
"0Oq632k7Q6","jYQJ19EqGR",2022,"M",110000,129423,"2022-04-15","mls"
"0Oq632k7Q6","jYQJ19EqGR",2022,"M",110000,129423,"2022-09-02","mls"
"0Oq633dAQ6","EKXMeX3Q64",2019,"F",70250,76368,"2019-06-01","mls"
"0Oq633dAQ6","EKXMeX3Q64",2019,"F",70250,76368.4,"2019-09-13","mls"
"0Oq633dAQ6","EKXMeX3Q64",2020,"F",90000,96118,"2020-12-01","mls"
"0Oq633dAQ6","EKXMeX3Q64",2021,"F",110000,116118,"2021-04-15","mls"
"0Oq633dAQ6","EKXMeX3Q64",2021,"F",110000,116118,"2021-09-30","mls"
"0Oq633dAQ6","EKXMeX3Q64",2022,"F",130000,136118,"2022-04-15","mls"
"0Oq638a6Q6","mKAqBBmqbg",2021,"M",63547,73237,"2021-09-30","mls"
"0Oq638a6Q6","mKAqBBmqbg",2022,"M",66724,76438,"2022-04-15","mls"
"0Oq638a6Q6","mKAqBBmqbg",2022,"M",66724,76438,"2022-09-02","mls"
"0Oq63JA7Q6","kRQand1MKZ",2018,"D",54500,54500,"2018-05-01","mls"
"0Oq63JA7Q6","kRQand1MKZ",2018,"D",54500,54500,"2018-09-15","mls"
"0Oq63JA7Q6","kRQand1MKZ",2019,"D",57225,57225,"2019-06-01","mls"
"0Oq63JA7Q6","kRQand1MKZ",2019,"D",57225,57225,"2019-09-13","mls"
"0Oq63JA7Q6","X0Oq66zq6D",2020,"D",81375,81375,"2020-12-01","mls"
"0Oq63JA7Q6","X0Oq66zq6D",2021,"D",85444,85444,"2021-04-15","mls"
"0Oq63JA7Q6","X0Oq66zq6D",2021,"D",85444,85444,"2021-09-30","mls"
"0Oq63JA7Q6","X0Oq66zq6D",2022,"D",140000,157000,"2022-04-15","mls"
"0Oq63JA7Q6","X0Oq66zq6D",2022,"D",140000,157000,"2022-09-02","mls"
"0Oq63lbzQ6","kRQabn8MKZ",2022,"M",65500,65500,"2022-09-02","mls"
"0Oq63n7Q6D","mKAqBBmqbg",2013,"F",237276,262276,"2013-05-01","mls"
